tiempo,evento,token,saldo_vendedor,extra
0.5230622945058355,mint,T0,4950.0,
0.9135747588949992,mint,T1,4900.0,
81.40570724660653,mint,T2,4850.0,
81.65775065163423,mint,T3,4800.0,
98.95288570631061,actualizacion_precio,T0,4800.0,909.1230329192026
178.90775028348858,compra_exitosa,T2,5860.873558912442,2697.162616659112
265.45543153702073,compra_exitosa,T3,6805.1605016552185,1875.7211447342138
347.99418127965424,mint,T4,6755.1605016552185,
427.94904585368613,compra_exitosa,T0,7664.283534574421,1931.0745126313986
428.3042577825566,mint,T5,7614.283534574421,
499.45896271022605,burn_token,T1,7614.283534574421,
499.7200396533464,mint,T6,7564.283534574421,
776.0092624540281,compra_exitosa,T4,8461.269308052139,1438.6055877924723
776.541040357753,mint,T7,8411.269308052139,
851.493112746474,mint,T8,8361.269308052139,
1160.0268819004837,mint,T9,8311.269308052139,
1412.8821131004813,mint,T10,8261.269308052139,
1413.3804711267962,mint,T11,8211.269308052139,
1413.6350493220866,mint,T12,8161.2693080521385,
1503.8369366131114,actualizacion_precio,T5,8161.2693080521385,942.9685932213533
1646.1912368558378,compra_exitosa,T8,9192.418393931917,1438.2522176569394
1646.7218119614138,mint,T13,9142.418393931917,
1647.0981667992633,mint,T14,9092.418393931917,
1810.2241453010963,actualizacion_precio,T6,9092.418393931917,922.8799700450709
1845.267503135294,mint,T15,9042.418393931917,
1845.7166170604978,mint,T16,8992.418393931917,
1926.043542658417,mint,T17,8942.418393931917,
1926.3828822195858,mint,T18,8892.418393931917,
1932.1997253658155,mint,T19,8842.418393931917,
2081.28190016337,mint,T20,8792.418393931917,
2081.718358468496,mint,T21,8742.418393931917,
2122.2210679374616,mint,T22,8692.418393931917,
2122.5172358787713,mint,T23,8642.418393931917,
2122.7467125324274,mint,T24,8592.418393931917,
2123.2827610773957,mint,T25,8542.418393931917,
2169.9946917149073,mint,T26,8492.418393931917,
2328.145551150234,mint,T27,8442.418393931917,
2408.0998628576485,compra_exitosa,T18,9372.656748871012,2108.442469668653
2530.0038262216526,compra_exitosa,T19,10277.251303460553,1831.186073846417
2530.531379477595,mint,T28,10227.251303460553,
2531.044151428268,actualizacion_precio,T16,10227.251303460553,870.9477272708709
2720.6293177745956,mint,T29,10177.251303460553,
2931.4057652765073,mint,T30,10127.251303460553,
3041.132663561012,mint,T31,10077.251303460553,
3103.354958764653,mint,T32,10027.251303460553,
3347.372576915725,compra_exitosa,T17,10965.952976333483,2291.5988675197914
3350.2227866044277,actualizacion_precio,T21,10965.952976333483,1061.8725838104465
3366.1611896362083,mint,T33,10915.952976333483,
3406.5640461799026,actualizacion_precio,T21,10915.952976333483,1084.1780774784013
3406.9299991552707,mint,T34,10865.952976333483,
3596.8779694399605,actualizacion_precio,T34,10865.952976333483,985.8242445972461
3659.7524309380237,mint,T35,10815.952976333483,
3660.19163768,mint,T36,10765.952976333483,
3665.5063690973884,compra_exitosa,T10,11693.639846531758,2271.0460215902376
3666.0040679099457,mint,T37,11643.639846531758,
3697.412580968428,mint,T38,11593.639846531758,
3718.1720680065487,actualizacion_precio,T28,11593.639846531758,933.8458557484709
3836.209724079073,actualizacion_precio,T37,11593.639846531758,914.3651481718796
3887.257227753298,mint,T39,11543.639846531758,
3887.52315440966,mint,T40,11493.639846531758,
3967.477985561962,compra_exitosa,T40,12471.675344978383,1731.8603235298044
3967.8834464081165,mint,T41,12421.675344978383,
4022.152292563631,compra_exitosa,T33,13373.313631022838,2633.785394819808
4102.107157141716,compra_exitosa,T14,14438.902844801596,1459.3730158118733
4182.061330775225,compra_exitosa,T30,15542.518570915447,1737.2256820809969
4270.024126993115,mint,T42,15492.518570915447,
4443.324346905969,compra_exitosa,T9,16513.32407409785,1890.26528630941
4443.782351638217,mint,T43,16463.32407409785,
4529.107053077902,compra_exitosa,T31,17604.047075236216,2456.902598905772
4839.813890666022,mint,T44,17554.047075236216,
4840.207828219666,mint,T45,17504.047075236216,
5719.984306855036,compra_exitosa,T26,18502.824316714225,2909.3575807450115
5828.517422600069,burn_token,T11,18502.824316714225,
5834.280145129013,mint,T46,18452.824316714225,
5834.503777729639,mint,T47,18402.824316714225,
5916.926826574096,compra_exitosa,T34,19388.64856131147,2010.3124145659317
5917.274046739574,mint,T48,19338.64856131147,
5967.714229663,burn_token,T39,19338.64856131147,
5967.962203298744,mint,T49,19288.64856131147,
6029.84319575848,mint,T50,19238.64856131147,
6083.792759644872,compra_exitosa,T29,20357.066662948193,2057.5894429830055
6364.192485321866,compra_exitosa,T6,21279.946632993262,1393.0002935523357
6364.420897886346,mint,T51,21229.946632993262,
6364.650008618165,mint,T52,21179.946632993262,
6374.437492173244,actualizacion_precio,T52,21179.946632993262,1050.1791167777642
6439.57156317571,mint,T53,21129.946632993262,
6440.234525659437,actualizacion_precio,T49,21129.946632993262,972.3328228280855
6440.487776111962,mint,T54,21079.946632993262,
6459.161993339113,compra_exitosa,T36,22147.150127558805,2139.343806187887
6464.743810789615,mint,T55,22097.150127558805,
6465.22492771003,mint,T56,22047.150127558805,
6545.179792285098,compra_exitosa,T27,23205.88289296983,1269.338960097451
6677.5494197815915,compra_exitosa,T51,24300.69133171344,1734.8306768104715
6757.730360407339,mint,T57,24250.69133171344,
6758.261921009324,mint,T58,24200.69133171344,
6843.484531512802,compra_exitosa,T16,25071.63905898431,2025.5408841678268
6923.1321136187935,compra_exitosa,T42,26194.03393429891,2314.1506169910936
6923.358680094916,mint,T59,26144.03393429891,
7132.349546086301,burn_token,T43,26144.03393429891,
7232.966619891431,compra_exitosa,T22,27241.638006234505,1369.666739591154
7233.427915411934,mint,T60,27191.638006234505,
7626.239772672901,mint,T61,27141.638006234505,
7846.834406857411,mint,T62,27091.638006234505,
7847.315381100687,mint,T63,27041.638006234505,
7927.270219619601,compra_exitosa,T24,27938.00708149713,1970.243975092737
7927.707723670992,mint,T64,27888.00708149713,
8007.6625749062405,compra_exitosa,T53,28928.950934561355,1815.2856151780736
8212.099716328505,compra_exitosa,T59,29835.306329396455,2337.937611811553
8257.000002873809,mint,T65,29785.306329396455,
8492.41152954383,mint,T66,29735.306329396455,
8492.63634470091,mint,T67,29685.306329396455,
8492.909694968559,mint,T68,29635.306329396455,
8513.208541574586,mint,T69,29585.306329396455,
9131.048671681709,compra_exitosa,T5,30528.27492261781,2449.9638201290195
9454.350233519704,mint,T70,30478.27492261781,
9526.509830590525,compra_exitosa,T66,31534.59476296454,2279.1314365788885
9576.695692111753,actualizacion_precio,T37,31534.59476296454,1117.99134104257
9625.053648614123,mint,T71,31484.59476296454,
9630.584234748747,compra_exitosa,T25,32464.248648856512,2101.1761367923964
9630.820138559991,mint,T72,32414.248648856512,
9984.75531347795,compra_exitosa,T7,33224.97243109751,1761.243251084425
10046.49806518345,mint,T73,33174.97243109751,
10063.267687366699,compra_exitosa,T64,34028.77305311482,1373.781948447687
10063.7741701605,mint,T74,33978.77305311482,
10143.029664867365,compra_exitosa,T41,35024.91553641067,1712.8568308396907
10222.855688245156,compra_exitosa,T63,36013.814190197496,1670.2574975744208
10228.21790705662,compra_exitosa,T71,37220.81682844532,2323.664062326729
10318.52190112987,actualizacion_precio,T62,37220.81682844532,1200.268276640859
10398.476765707468,compra_exitosa,T49,38193.14965127341,1783.1042789078203
10398.765417500195,mint,T75,38143.14965127341,
10478.720282060222,compra_exitosa,T67,39130.0570707608,1940.065479287276
10520.77564004657,actualizacion_precio,T52,39130.0570707608,997.4652725249575
10526.492502446456,mint,T76,39080.0570707608,
10606.443032751122,compra_exitosa,T58,40256.70825079356,884.742222459985
10752.677967095065,actualizacion_precio,T45,40256.70825079356,922.654415596657
10753.191439736545,mint,T77,40206.70825079356,
10753.72273052808,mint,T78,40156.70825079356,
10775.88257735816,compra_exitosa,T15,40979.31128918235,1711.1323542223743
10776.10701597304,mint,T79,40929.31128918235,
10776.349942709034,mint,T80,40879.31128918235,
10856.826548605755,mint,T81,40829.31128918235,
11026.21851991019,actualizacion_precio,T65,40829.31128918235,1038.427883498595
11029.449375126422,actualizacion_precio,T13,40829.31128918235,956.612653702081
11029.720517627244,mint,T82,40779.31128918235,
11029.970625443033,mint,T83,40729.31128918235,
11109.64514233605,compra_exitosa,T60,41724.29436241896,1458.354165613499
